Time,Error,"Low Range","High Range","Accumulated Real Energy Net","Real Energy Quadrants 1 & 4, Import","Real Energy Quadrants 2 & 3, Export","Reactive Energy Quadrant 1","Reactive Energy Quadrant 2","Reactive Energy Quadrant 3","Reactive Energy Quadrant 4","Apparent Energy Net","Apparent Energy Quadrants 1 & 4","Apparent Energy Quadrants 2 & 3","Total Net Instantaneous Real Power","Total Net Instantaneous Reactive Power","Total Net Instantaneous Apparent Power","Total Power Factor","Voltage, L-L, 3p Ave","Voltage, L-N, 3p Ave","Current, 3p Ave",Frequency,"Total Real Power Present Demand","Total Reactive Power Present Demand","Total Apparent Power Present Demand","Total Real Power Max Demand, Import","Total Reactive Power Max Demand, Import","Total Apparent Power Max Demand, Import","Total Real Power Max Demand, Export","Total Reactive Power Max Demand, Export","Total Apparent Power Max Demand, Export","Accumulated Real Energy, Phase A, Import","Accumulated Real Energy, Phase B, Import","Accumulated Real Energy, Phase C, Import","Accumulated Real Energy, Phase A, Export","Accumulated Real Energy, Phase B, Export","Accumulated Real Energy, Phase C, Export","Accumulated Q1 Reactive Energy, Phase A, Import","Accumulated Q1 Reactive Energy, Phase B, Import","Accumulated Q1 Reactive Energy, Phase C, Import","Accumulated Q2 Reactive Energy, Phase A, Import","Accumulated Q2 Reactive Energy, Phase B, Import","Accumulated Q2 Reactive Energy, Phase C, Import","Accumulated Q3 Reactive Energy, Phase A, Export","Accumulated Q3 Reactive Energy, Phase B, Export","Accumulated Q3 Reactive Energy, Phase C, Export","Accumulated Q4 Reactive Energy, Phase A, Export","Accumulated Q4 Reactive Energy, Phase B, Export","Accumulated Q4 Reactive Energy, Phase C, Export","Accumulated Apparent Energy, Phase A, Import","Accumulated Apparent Energy, Phase B, Import","Accumulated Apparent Energy, Phase C, Import","Accumulated Apparent Energy, Phase A, Export","Accumulated Apparent Energy, Phase B, Export","Accumulated Apparent Energy, Phase C, Export","Real Power, Phase A","Real Power, Phase B","Real Power, Phase C","Reactive Power, Phase A","Reactive Power, Phase B","Reactive Power, Phase C","Apparent Power, Phase A","Apparent Power, Phase B","Apparent Power, Phase C","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B","Voltage, Phase B-C","Voltage, Phase A-C","Voltage, Phase A-N","Voltage, Phase B-N","Voltage, Phase C-N","Current, Phase A","Current, Phase B","Current, Phase C"
"02-26-2018 12:00 am",0,0,0,438576.47,438576.47,0,178056.94,0,0,0.06,476167.47,476167.47,0,41.86,12.31,43.63,0.96,213.65,123.3,118.7,60.01,45.01,14.05,47.21,70,19.02,72.09,0,0,0,136945.97,154078.63,147551.88,0,0,0,57506.14,66285.41,54265.39,0,0,0,0,0,0,0.01,0.02,0.03,149350.97,168868.17,157565.55,0,0,0,13.08,14.67,14.02,4.64,5.16,3.67,13.87,15.55,14.49,0.94,0.94,0.97,212.94,213.72,214.11,123.13,123.01,123.67,112.62,126.5,116.36
"02-26-2018 12:15 am",0,0,0,438587.06,438587.06,0,178060.3,0,0,0.06,476178.59,476178.59,0,37.44,12.82,39.57,0.95,213.77,123.38,106.85,60.01,43.51,13.64,45.66,70,19.02,72.09,0,0,0,136949.28,154082.39,147555.36,0,0,0,57507.26,66286.76,54266.27,0,0,0,0,0,0,0.01,0.02,0.03,149354.45,168872.16,157569.13,0,0,0,13.66,12.71,11.07,4.44,4.15,4.23,14.36,13.36,11.84,0.95,0.95,0.93,213.37,213.83,214.1,123.27,123.21,123.65,116.31,108.58,95.66
"02-26-2018 12:30 am",0,0,0,438597.03,438597.03,0,178063.67,0,0,0.06,476189.16,476189.16,0,35.84,14.35,38.6,0.93,213.74,123.36,103.03,59.97,39.99,13.43,42.23,70,19.02,72.09,0,0,0,136952.38,154086.09,147558.56,0,0,0,57508.33,66288.08,54267.27,0,0,0,0,0,0,0.01,0.02,0.03,149357.72,168876.08,157572.47,0,0,0,11.75,12.66,11.43,4.29,5.41,4.65,12.5,13.76,12.33,0.94,0.92,0.93,213.31,213.86,214.04,123.26,123.22,123.59,101.14,108.37,99.59
"02-26-2018 12:45 am",0,0,0,438605.78,438605.78,0,178066.7,0,0,0.06,476198.38,476198.38,0,33.91,11.79,35.9,0.94,214.19,123.62,96.7,60.01,36.21,12.39,38.31,70,19.02,72.09,0,0,0,136955.31,154089.05,147561.42,0,0,0,57509.39,66289.12,54268.18,0,0,0,0,0,0,0.01,0.02,0.03,149360.84,168879.19,157575.48,0,0,0,11.65,11.05,11.21,4.05,3.88,3.86,12.33,11.71,11.85,0.95,0.94,0.95,213.73,214.15,214.69,123.54,123.41,123.9,99.86,94.85,95.39
"02-26-2018 01:00 am",0,0,0,438614.34,438614.34,0,178069.78,0,0,0.06,476207.5,476207.5,0,36.29,11.54,38.09,0.95,214.14,123.59,102.98,60.02,34.23,12.47,36.48,70,19.02,72.09,0,0,0,136958.27,154091.92,147564.16,0,0,0,57510.41,66290.19,54269.19,0,0,0,0,0,0,0.01,0.02,0.03,149363.95,168882.27,157578.38,0,0,0,12.95,11.29,12.05,3.08,3.59,4.88,13.3,11.84,13,0.97,0.95,0.93,213.82,214.13,214.46,123.53,123.5,123.73,107.78,96.34,104.81
"02-26-2018 01:15 am",0,0,0,438623.94,438623.94,0,178072.89,0,0,0.06,476217.59,476217.59,0,37.72,10.54,39.17,0.96,213.99,123.5,105.79,60,37.5,12.33,39.5,70,19.02,72.09,0,0,0,136961.77,154094.98,147567.17,0,0,0,57511.42,66291.11,54270.37,0,0,0,0,0,0,0.01,0.02,0.03,149367.59,168885.45,157581.63,0,0,0,13.23,12.03,12.46,4.15,2.44,3.95,13.86,12.26,13.07,0.95,0.98,0.95,213.54,214.14,214.35,123.36,123.44,123.74,112.36,99.95,107.84
"02-26-2018 01:30 am",0,0,0,438633.19,438633.19,0,178076.17,0,0,0.06,476227.41,476227.41,0,32.97,12.73,35.34,0.93,214.09,123.56,95.34,60.01,37.57,12.9,39.77,70,19.02,72.09,0,0,0,136964.95,154098.06,147570.19,0,0,0,57512.62,66291.95,54271.61,0,0,0,0,0,0,0.01,0.02,0.03,149371,168888.63,157584.86,0,0,0,11.29,10.42,11.26,3.5,4.52,4.7,11.81,11.35,12.2,0.96,0.92,0.92,213.69,214.03,214.54,123.53,123.36,123.78,95.73,92.1,98.19
"02-26-2018 01:45 am",0,0,0,438641.5,438641.5,0,178079.2,0,0,0.06,476236.28,476236.28,0,38.57,12.91,40.67,0.95,214.03,123.52,109.5,60.02,33.67,12.4,35.93,70,19.02,72.09,0,0,0,136967.78,154100.84,147572.89,0,0,0,57513.76,66292.85,54272.59,0,0,0,0,0,0,0.01,0.02,0.03,149374.06,168891.56,157587.73,0,0,0,12.26,11.46,13.13,6.09,2.75,7.5,13.68,11.78,15.11,0.96,0.97,0.92,213.82,213.94,214.33,123.45,123.59,123.54,110.81,95.34,122.34
"02-26-2018 02:00 am",0,0,0,438648.91,438648.91,0,178082.06,0,0,0.06,476244.22,476244.22,0,27.4,11.13,29.57,0.93,214.19,123.62,79.63,60.02,30.66,11.5,32.78,70,19.02,72.09,0,0,0,136970.19,154103.34,147575.36,0,0,0,57514.75,66293.82,54273.48,0,0,0,0,0,0,0.01,0.02,0.03,149376.66,168894.27,157590.36,0,0,0,8.27,9.97,9.16,3.6,4.19,3.33,9.02,10.81,9.74,0.92,0.92,0.94,213.63,214.32,214.63,123.52,123.44,123.9,72.89,87.55,78.46
"02-26-2018 02:15 am",0,0,0,438655.75,438655.75,0,178084.88,0,0,0.06,476251.63,476251.63,0,26.78,11.59,29.18,0.92,214.13,123.58,78.6,60.02,27.49,11.17,29.69,70,19.02,72.09,0,0,0,136972.3,154105.83,147577.64,0,0,0,57515.71,66294.88,54274.29,0,0,0,0,0,0,0.01,0.02,0.03,149378.97,168896.95,157592.8,0,0,0,8.29,9.65,8.85,3.96,4.33,3.3,9.18,10.57,9.44,0.9,0.91,0.94,213.52,214.24,214.62,123.48,123.38,123.88,74.27,85.56,75.97
