Time,Error,"Low Range","High Range","Accumulated Real Energy Net","Real Energy Quadrants 1 & 4, Import","Real Energy Quadrants 2 & 3, Export","Reactive Energy Quadrant 1","Reactive Energy Quadrant 2","Reactive Energy Quadrant 3","Reactive Energy Quadrant 4","Apparent Energy Net","Apparent Energy Quadrants 1 & 4","Apparent Energy Quadrants 2 & 3","Total Net Instantaneous Real Power","Total Net Instantaneous Reactive Power","Total Net Instantaneous Apparent Power","Total Power Factor","Voltage, L-L, 3p Ave","Voltage, L-N, 3p Ave","Current, 3p Ave",Frequency,"Total Real Power Present Demand","Total Reactive Power Present Demand","Total Apparent Power Present Demand","Total Real Power Max Demand, Import","Total Reactive Power Max Demand, Import","Total Apparent Power Max Demand, Import","Total Real Power Max Demand, Export","Total Reactive Power Max Demand, Export","Total Apparent Power Max Demand, Export","Accumulated Real Energy, Phase A, Import","Accumulated Real Energy, Phase B, Import","Accumulated Real Energy, Phase C, Import","Accumulated Real Energy, Phase A, Export","Accumulated Real Energy, Phase B, Export","Accumulated Real Energy, Phase C, Export","Accumulated Q1 Reactive Energy, Phase A, Import","Accumulated Q1 Reactive Energy, Phase B, Import","Accumulated Q1 Reactive Energy, Phase C, Import","Accumulated Q2 Reactive Energy, Phase A, Import","Accumulated Q2 Reactive Energy, Phase B, Import","Accumulated Q2 Reactive Energy, Phase C, Import","Accumulated Q3 Reactive Energy, Phase A, Export","Accumulated Q3 Reactive Energy, Phase B, Export","Accumulated Q3 Reactive Energy, Phase C, Export","Accumulated Q4 Reactive Energy, Phase A, Export","Accumulated Q4 Reactive Energy, Phase B, Export","Accumulated Q4 Reactive Energy, Phase C, Export","Accumulated Apparent Energy, Phase A, Import","Accumulated Apparent Energy, Phase B, Import","Accumulated Apparent Energy, Phase C, Import","Accumulated Apparent Energy, Phase A, Export","Accumulated Apparent Energy, Phase B, Export","Accumulated Apparent Energy, Phase C, Export","Real Power, Phase A","Real Power, Phase B","Real Power, Phase C","Reactive Power, Phase A","Reactive Power, Phase B","Reactive Power, Phase C","Apparent Power, Phase A","Apparent Power, Phase B","Apparent Power, Phase C","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B","Voltage, Phase B-C","Voltage, Phase A-C","Voltage, Phase A-N","Voltage, Phase B-N","Voltage, Phase C-N","Current, Phase A","Current, Phase B","Current, Phase C"
"02-26-2018 12:00 am",0,0,0,774981.38,774981.38,0,220064.33,0,0,1095.91,812590.06,812590.06,0,43.99,4.9,44.66,0.99,211.81,122.25,122.95,60.01,46.25,12.72,48.67,87.61,22.67,90.02,0,0,0,319109.88,245215.39,210656.09,0,0,0,86491.9,62600.34,70972.09,0,0,0,0,0,0,11.18,888.57,196.16,328084.13,250858.8,219863.27,0,0,0,17.48,16.06,10.44,3.92,3.54,-2.57,17.91,16.44,10.75,0.98,0.98,0.97,212.06,211.85,211.32,122.27,122.3,122.05,146.42,133.74,88.22
"02-26-2018 12:15 am",0,0,0,774995.44,774995.44,0,220068.02,0,0,1096.01,812604.75,812604.75,0,62.49,6.71,62.85,0.99,211.8,122.24,173.88,60.01,51.23,10.6,52.86,87.61,22.67,90.02,0,0,0,319115.22,245220.53,210659.7,0,0,0,86493.41,62601.57,70973.04,0,0,0,0,0,0,11.18,888.57,196.26,328089.63,250864,219866.94,0,0,0,24.62,23.15,14.71,6.67,2.95,-2.92,25.5,23.33,14.99,0.97,0.99,0.98,211.98,212.03,211.38,122.2,122.31,122.19,208.43,190.93,122.28
"02-26-2018 12:30 am",0,0,0,775012.19,775012.19,0,220071.97,0,0,1096.33,812622.06,812622.06,0,61.54,12.3,62.76,0.98,211.69,122.17,171.39,59.89,65.74,14.09,67.84,87.61,22.67,90.02,0,0,0,319121.72,245226.69,210663.81,0,0,0,86495.29,62602.86,70973.81,0,0,0,0,0,0,11.18,888.57,196.58,328096.31,250870.22,219871.11,0,0,0,23.89,22.52,15.13,6.38,3.18,2.74,24.71,22.74,15.37,0.97,0.99,0.98,211.94,211.96,211.16,122.02,122.34,122.16,202.63,185.81,125.72
"02-26-2018 12:45 am",0,0,0,775026.81,775026.81,0,220075.73,0,0,1096.48,812637.25,812637.25,0,84.78,5.43,84.96,1,212.19,122.46,232.23,60.01,63.61,16.3,66.24,87.61,22.67,90.02,0,0,0,319127.63,245231.67,210667.5,0,0,0,86496.95,62603.84,70974.95,0,0,0,0,0,0,11.18,888.71,196.58,328102.34,250875.25,219874.89,0,0,0,32.82,28.13,23.84,2.12,0.92,2.39,32.87,28.1,23.95,1,1,1,212.57,212.39,211.59,122.4,122.68,122.3,270.83,229.77,196.09
"02-26-2018 01:00 am",0,0,0,775038,775038,0,220078.84,0,0,1096.83,812648.94,812648.94,0,29.5,7.02,30.37,0.97,212.37,122.57,82.6,60.01,50.33,13.04,52.62,87.61,22.67,90.02,0,0,0,319132.38,245235.25,210670.39,0,0,0,86498.28,62604.84,70975.71,0,0,0,0,0,0,11.18,888.8,196.86,328107.19,250878.91,219877.88,0,0,0,13.13,9.25,7.12,2.44,2.05,2.53,13.35,9.47,7.55,0.98,0.98,0.94,212.76,212.47,211.95,122.56,122.67,122.51,109.48,76.82,61.68
"02-26-2018 01:15 am",0,0,0,775046.19,775046.19,0,220081.13,0,0,1096.83,812657.5,812657.5,0,28.99,7.17,29.87,0.97,212.38,122.57,81.19,59.99,36.24,9.23,37.89,87.61,22.67,90.02,0,0,0,319135.66,245237.95,210672.53,0,0,0,86499.09,62605.57,70976.47,0,0,0,0,0,0,11.18,888.8,196.86,328110.56,250881.67,219880.13,0,0,0,12.05,9.51,7.43,2.36,2.52,2.29,12.28,9.83,7.78,0.98,0.97,0.96,212.82,212.45,211.87,122.51,122.84,122.37,100.38,79.25,63.93
"02-26-2018 01:30 am",0,0,0,775053.31,775053.31,0,220082.84,0,0,1096.83,812664.81,812664.81,0,28.84,7.21,29.73,0.97,212.55,122.67,80.79,59.92,29.36,7.11,30.22,87.61,22.67,90.02,0,0,0,319138.66,245240.22,210674.39,0,0,0,86499.69,62606.06,70977.09,0,0,0,0,0,0,11.18,888.8,196.86,328113.63,250884,219882.09,0,0,0,12.55,8.95,7.34,2.71,2.03,2.46,12.83,9.17,7.74,0.98,0.98,0.95,212.88,212.69,212.09,122.59,122.82,122.6,104.7,74.33,63.34
"02-26-2018 01:45 am",0,0,0,775060.38,775060.38,0,220084.59,0,0,1096.83,812672.19,812672.19,0,28.82,7.6,29.8,0.97,212.48,122.63,80.85,60.01,28.41,6.9,29.24,87.61,22.67,90.02,0,0,0,319141.69,245242.44,210676.27,0,0,0,86500.32,62606.55,70977.72,0,0,0,0,0,0,11.18,888.8,196.86,328116.72,250886.27,219884.06,0,0,0,11.89,9.52,7.19,2.68,3.08,2.36,12.19,10,7.56,0.98,0.97,0.95,212.82,212.66,211.95,122.52,122.86,122.5,99.46,81.39,61.7
"02-26-2018 02:00 am",0,0,0,775067.31,775067.31,0,220086.34,0,0,1096.83,812679.19,812679.19,0,25.86,6.19,26.59,0.97,212.34,122.55,72.46,60.01,28.28,7.2,29.2,87.61,22.67,90.02,0,0,0,319144.66,245244.64,210678,0,0,0,86501.02,62607.04,70978.29,0,0,0,0,0,0,11.18,888.8,196.86,328119.75,250888.53,219885.86,0,0,0,11.01,8.36,6.48,2.25,1.6,2.34,11.23,8.51,6.89,0.98,0.98,0.94,212.82,212.36,211.85,122.58,122.75,122.33,91.9,69.64,55.84
"02-26-2018 02:15 am",0,0,0,775073.75,775073.75,0,220087.92,0,0,1096.83,812685.94,812685.94,0,26.61,5.58,27.19,0.98,212.4,122.58,74.28,60.02,26.29,6.53,27.1,87.61,22.67,90.02,0,0,0,319147.41,245246.77,210679.58,0,0,0,86501.61,62607.51,70978.79,0,0,0,0,0,0,11.18,888.8,196.86,328122.56,250890.7,219887.55,0,0,0,11.02,8.51,7.08,2.06,2.51,1.01,11.2,8.87,7.15,0.98,0.96,0.99,212.98,212.23,211.98,122.7,122.81,122.23,91.6,70.94,60.31
