Time,Error,"Low Range","High Range","Accumulated Real Energy Net","Real Energy Quadrants 1 & 4, Import","Real Energy Quadrants 2 & 3, Export","Reactive Energy Quadrant 1","Reactive Energy Quadrant 2","Reactive Energy Quadrant 3","Reactive Energy Quadrant 4","Apparent Energy Net","Apparent Energy Quadrants 1 & 4","Apparent Energy Quadrants 2 & 3","Total Net Instantaneous Real Power","Total Net Instantaneous Reactive Power","Total Net Instantaneous Apparent Power","Total Power Factor","Voltage, L-L, 3p Ave","Voltage, L-N, 3p Ave","Current, 3p Ave",Frequency,"Total Real Power Present Demand","Total Reactive Power Present Demand","Total Apparent Power Present Demand","Total Real Power Max Demand, Import","Total Reactive Power Max Demand, Import","Total Apparent Power Max Demand, Import","Total Real Power Max Demand, Export","Total Reactive Power Max Demand, Export","Total Apparent Power Max Demand, Export","Accumulated Real Energy, Phase A, Import","Accumulated Real Energy, Phase B, Import","Accumulated Real Energy, Phase C, Import","Accumulated Real Energy, Phase A, Export","Accumulated Real Energy, Phase B, Export","Accumulated Real Energy, Phase C, Export","Accumulated Q1 Reactive Energy, Phase A, Import","Accumulated Q1 Reactive Energy, Phase B, Import","Accumulated Q1 Reactive Energy, Phase C, Import","Accumulated Q2 Reactive Energy, Phase A, Import","Accumulated Q2 Reactive Energy, Phase B, Import","Accumulated Q2 Reactive Energy, Phase C, Import","Accumulated Q3 Reactive Energy, Phase A, Export","Accumulated Q3 Reactive Energy, Phase B, Export","Accumulated Q3 Reactive Energy, Phase C, Export","Accumulated Q4 Reactive Energy, Phase A, Export","Accumulated Q4 Reactive Energy, Phase B, Export","Accumulated Q4 Reactive Energy, Phase C, Export","Accumulated Apparent Energy, Phase A, Import","Accumulated Apparent Energy, Phase B, Import","Accumulated Apparent Energy, Phase C, Import","Accumulated Apparent Energy, Phase A, Export","Accumulated Apparent Energy, Phase B, Export","Accumulated Apparent Energy, Phase C, Export","Real Power, Phase A","Real Power, Phase B","Real Power, Phase C","Reactive Power, Phase A","Reactive Power, Phase B","Reactive Power, Phase C","Apparent Power, Phase A","Apparent Power, Phase B","Apparent Power, Phase C","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B","Voltage, Phase B-C","Voltage, Phase A-C","Voltage, Phase A-N","Voltage, Phase B-N","Voltage, Phase C-N","Current, Phase A","Current, Phase B","Current, Phase C"
"02-26-2018 12:00 am",0,0,0,1232295.13,1232295.38,0.23,229027.83,0,0.87,33143.33,1250343.5,1250344.25,0.7,77.43,7.48,77.79,1,214.25,123.65,212.58,59.92,70.09,6.03,70.41,91.87,16.71,93.07,0,-0.34,0,473540.03,457983.78,300771.59,0.01,0.22,0,51664.08,151022.84,26340.91,0,0,0,0.28,0.59,0,14501.63,0.06,18641.64,477730.94,483237.97,303791.78,0.28,0.63,0,28.31,29.28,19.84,-2.68,8.08,2.08,28.42,30.36,19.94,1,0.96,1,213.62,214.08,215.06,123.77,123.11,124.07,229.84,246.74,161.15
"02-26-2018 12:15 am",0,0,0,1232312.63,1232312.88,0.23,229030.45,0,0.87,33143.99,1250361.25,1250362,0.7,63.54,6.87,63.91,0.99,214.51,123.8,173.63,59.96,77.11,7.83,77.52,91.87,16.71,93.07,0,-0.34,0,473546.03,457990.41,300776.47,0.01,0.22,0,51664.15,151024.55,26341.76,0,0,0,0.28,0.59,0,14502.28,0.06,18641.64,477736.97,483244.84,303796.72,0.28,0.63,0,20.76,24.59,18.19,-1.84,5.06,3.66,20.83,25.09,18.55,1,0.98,0.98,214.01,214.59,214.93,123.8,123.51,124.09,168.41,203.04,149.44
"02-26-2018 12:30 am",0,0,0,1232326.75,1232327,0.23,229032.69,0,0.87,33144.41,1250375.38,1250376.13,0.7,47.57,4.56,47.78,1,214.84,123.99,130.36,60.01,69.45,7.71,69.91,91.87,16.71,93.07,0,-0.34,0,473551,457995.5,300780.44,0.01,0.22,0,51664.43,151025.86,26342.38,0,0,0,0.28,0.59,0,14502.59,0.06,18641.75,477741.97,483250.09,303800.78,0.28,0.63,0,18.11,16.91,12.54,1.62,4.87,-1.93,18.18,17.59,12.68,1,0.96,0.99,214.18,214.92,215.43,123.91,123.64,124.44,146.79,142.23,102.06
"02-26-2018 12:45 am",0,0,0,1232338.5,1232338.75,0.23,229034.33,0,0.87,33145.12,1250387.25,1250388,0.7,46.88,1.4,46.9,1,215.14,124.16,129.04,60.02,55.15,7.13,55.68,91.87,16.71,93.07,0,-0.34,0,473555.5,457999.63,300783.63,0.01,0.22,0,51664.75,151027.17,26342.4,0,0,0,0.28,0.59,0,14502.78,0.06,18642.27,477746.53,483254.44,303804,0.28,0.63,0,17.43,15.86,13.59,-1.66,5.62,-2.09,17.5,16.82,13.74,0.99,0.95,0.99,214.34,215.48,215.58,124.04,123.82,124.62,141.06,135.82,110.24
"02-26-2018 01:00 am",0,0,0,1232350.13,1232350.38,0.23,229036.08,0,0.87,33145.77,1250398.88,1250399.63,0.7,48.32,2.19,48.38,1,214.89,124.02,133,60.02,47.11,3.72,47.32,91.87,16.71,93.07,0,-0.34,0,473560.06,458003.56,300786.72,0.01,0.22,0,51665.14,151028.53,26342.4,0,0,0,0.28,0.59,0,14502.91,0.06,18642.79,477751.09,483258.63,303807.16,0.28,0.63,0,19.83,15.84,12.65,-1.86,5.67,-1.62,19.91,16.81,12.74,1,0.94,0.99,214.12,215.16,215.46,123.93,123.75,124.43,160.74,136.17,102.92
"02-26-2018 01:15 am",0,0,0,1232361.5,1232361.75,0.23,229037.63,0,0.87,33146.67,1250410.38,1250411.13,0.7,43.83,1.96,43.87,1,214.99,124.08,120.75,60.01,46.34,4.21,46.59,91.87,16.71,93.07,0,-0.34,0,473564.63,458007.41,300789.72,0.01,0.22,0,51665.32,151029.89,26342.41,0,0,0,0.28,0.59,0,14503.31,0.06,18643.3,477755.69,483262.69,303810.16,0.28,0.63,0,17.35,14.56,11.91,-1.63,5.26,-1.66,17.42,15.47,12.02,1,0.94,0.99,214.18,215.29,215.49,123.95,123.78,124.49,140.65,124.6,97.01
"02-26-2018 01:30 am",0,0,0,1232372.63,1232372.88,0.23,229039.48,0,0.87,33147.12,1250421.63,1250422.38,0.7,45.27,8.36,46.03,0.98,214.97,124.07,124.64,60.01,45.47,2.66,45.63,91.87,16.71,93.07,0,-0.34,0,473569.09,458011.06,300792.78,0.01,0.22,0,51665.73,151031.2,26342.54,0,0,0,0.28,0.59,0,14503.39,0.06,18643.66,477760.16,483266.56,303813.28,0.28,0.63,0,17.6,14.83,12.84,1.2,5.72,1.44,17.63,15.89,12.92,1,0.93,0.99,214.15,215.34,215.43,123.92,123.8,124.48,142.39,127.48,104.07
"02-26-2018 01:45 am",0,0,0,1232384.38,1232384.63,0.23,229041.44,0,0.87,33147.35,1250433.38,1250434.13,0.7,50.8,9.48,51.68,0.98,214.78,123.96,138.79,60.02,44.69,5.71,45.11,91.87,16.71,93.07,0,-0.34,0,473573.56,458014.97,300796.03,0.01,0.22,0,51666.16,151032.39,26342.88,0,0,0,0.28,0.59,0,14503.42,0.06,18643.86,477764.66,483270.66,303816.59,0.28,0.63,0,18.13,18.17,14.43,2.2,4.24,2.83,18.26,18.65,14.7,0.99,0.98,0.99,214.24,214.9,215.21,123.89,123.72,124.27,147.35,150.74,118.27
"02-26-2018 02:00 am",0,0,0,1232396.13,1232396.38,0.23,229043.34,0,0.87,33147.49,1250445.38,1250446.13,0.7,48.15,1.34,48.17,1,214.82,123.98,131.94,60.02,46.93,7.18,47.53,91.87,16.71,93.07,0,-0.34,0,473577.88,458019.06,300799.44,0.01,0.22,0,51666.53,151033.47,26343.35,0,0,0,0.28,0.59,0,14503.49,0.06,18643.94,477768.97,483274.88,303820,0.28,0.63,0,16.54,17.53,14.08,-3.46,2.29,2.51,16.16,17.67,13.85,1,0.99,1,214.39,214.8,215.28,124.03,123.7,124.21,134.01,146.24,115.57
"02-26-2018 02:15 am",0,0,0,1232408.5,1232408.75,0.23,229045.33,0,0.87,33147.69,1250457.88,1250458.63,0.7,56.54,9.18,57.28,0.99,214.47,123.78,155.4,60.02,47.02,6.83,47.55,91.87,16.71,93.07,0,-0.34,0,473582.34,458023.44,300803,0.01,0.22,0,51666.73,151034.67,26343.92,0,0,0,0.28,0.59,0,14503.69,0.06,18643.94,477773.47,483279.41,303823.63,0.28,0.63,0,21.69,18.83,16.02,1.3,6.24,1.64,21.72,19.83,16.09,1,0.95,1,213.71,214.7,214.99,123.65,123.52,124.16,175.83,160.66,129.71
