Time,Error,"Low Range","High Range","Accumulated Real Energy Net","Real Energy Quadrants 1 & 4, Import","Real Energy Quadrants 2 & 3, Export","Reactive Energy Quadrant 1","Reactive Energy Quadrant 2","Reactive Energy Quadrant 3","Reactive Energy Quadrant 4","Apparent Energy Net","Apparent Energy Quadrants 1 & 4","Apparent Energy Quadrants 2 & 3","Total Net Instantaneous Real Power","Total Net Instantaneous Reactive Power","Total Net Instantaneous Apparent Power","Total Power Factor","Voltage, L-L, 3p Ave","Voltage, L-N, 3p Ave","Current, 3p Ave",Frequency,"Total Real Power Present Demand","Total Reactive Power Present Demand","Total Apparent Power Present Demand","Total Real Power Max Demand, Import","Total Reactive Power Max Demand, Import","Total Apparent Power Max Demand, Import","Total Real Power Max Demand, Export","Total Reactive Power Max Demand, Export","Total Apparent Power Max Demand, Export","Accumulated Real Energy, Phase A, Import","Accumulated Real Energy, Phase B, Import","Accumulated Real Energy, Phase C, Import","Accumulated Real Energy, Phase A, Export","Accumulated Real Energy, Phase B, Export","Accumulated Real Energy, Phase C, Export","Accumulated Q1 Reactive Energy, Phase A, Import","Accumulated Q1 Reactive Energy, Phase B, Import","Accumulated Q1 Reactive Energy, Phase C, Import","Accumulated Q2 Reactive Energy, Phase A, Import","Accumulated Q2 Reactive Energy, Phase B, Import","Accumulated Q2 Reactive Energy, Phase C, Import","Accumulated Q3 Reactive Energy, Phase A, Export","Accumulated Q3 Reactive Energy, Phase B, Export","Accumulated Q3 Reactive Energy, Phase C, Export","Accumulated Q4 Reactive Energy, Phase A, Export","Accumulated Q4 Reactive Energy, Phase B, Export","Accumulated Q4 Reactive Energy, Phase C, Export","Accumulated Apparent Energy, Phase A, Import","Accumulated Apparent Energy, Phase B, Import","Accumulated Apparent Energy, Phase C, Import","Accumulated Apparent Energy, Phase A, Export","Accumulated Apparent Energy, Phase B, Export","Accumulated Apparent Energy, Phase C, Export","Real Power, Phase A","Real Power, Phase B","Real Power, Phase C","Reactive Power, Phase A","Reactive Power, Phase B","Reactive Power, Phase C","Apparent Power, Phase A","Apparent Power, Phase B","Apparent Power, Phase C","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B","Voltage, Phase B-C","Voltage, Phase A-C","Voltage, Phase A-N","Voltage, Phase B-N","Voltage, Phase C-N","Current, Phase A","Current, Phase B","Current, Phase C"
"02-26-2018 12:00 am",0,0,0,739609.19,739609.19,0,320157.5,0,0,1.16,808322.25,808322.25,0,45.92,19.8,50.01,0.92,212.31,122.55,136.52,60.01,51.71,20.89,55.82,111.46,26.68,113.44,0,0,0,286877.81,230753.69,221977.69,0,0,0,124759.59,100573.64,94824.27,0,0,0,0,0,0,0,1.03,0.14,313624.75,252640.44,241977.64,0,0,0,19.48,13.84,13.36,4.8,6.3,6.78,20.06,15.2,14.97,0.94,0.92,0.89,213.21,211.73,211.99,123.49,122.16,121.99,162.4,124.43,122.72
"02-26-2018 12:15 am",0,0,0,739620.63,739620.63,0,320162.28,0,0,1.16,808334.69,808334.69,0,44.1,17.45,47.43,0.93,212.28,122.53,128.89,60.01,46.72,19.64,50.74,111.46,26.68,113.44,0,0,0,286882.53,230757.13,221981,0,0,0,124761.33,100575.16,94825.8,0,0,0,0,0,0,0,1.03,0.14,313629.78,252644.2,241981.28,0,0,0,18.86,12.86,12.37,7,5.31,5.14,20.11,13.91,13.39,0.94,0.92,0.92,212.99,211.78,212.09,123.44,122.11,122.04,162.37,114.6,109.7
"02-26-2018 12:30 am",0,0,0,739631.69,739631.69,0,320167.13,0,0,1.16,808346.75,808346.75,0,43.3,19.72,47.58,0.91,212.37,122.58,129.31,60,44.21,19.06,48.16,111.46,26.68,113.44,0,0,0,286887.22,230760.41,221984.06,0,0,0,124763.11,100576.69,94827.33,0,0,0,0,0,0,0,1.03,0.14,313634.81,252647.81,241984.7,0,0,0,18.61,12.5,12.18,7.26,5.85,6.62,19.97,13.79,13.86,0.93,0.91,0.88,212.91,211.96,212.23,123.39,122.27,122.08,161.79,112.72,113.42
"02-26-2018 12:45 am",0,0,0,739642.63,739642.63,0,320172.25,0,0,1.16,808358.75,808358.75,0,41.73,19.58,46.1,0.91,212.41,122.6,125.34,59.96,43.67,20.33,48.2,111.46,26.68,113.44,0,0,0,286891.84,230763.58,221987.14,0,0,0,124765.01,100578.2,94829.02,0,0,0,0,0,0,0,1.03,0.14,313639.78,252651.34,241988.23,0,0,0,17.43,12.35,11.95,7.24,5.76,6.58,18.87,13.62,13.63,0.92,0.91,0.88,213.17,211.81,212.25,123.48,122.15,122.18,152.7,111.74,111.59
"02-26-2018 01:00 am",0,0,0,739652.94,739652.94,0,320177.31,0,0,1.16,808370.31,808370.31,0,39.12,18.07,43.09,0.91,212.35,122.57,118.13,60.01,41.93,20.4,46.65,111.46,26.68,113.44,0,0,0,286896.13,230766.69,221990.19,0,0,0,124766.84,100579.77,94830.71,0,0,0,0,0,0,0,1.03,0.14,313644.44,252654.8,241991.69,0,0,0,15.23,13.27,11.49,6.55,3.35,6.53,16.57,13.68,13.21,0.92,0.92,0.87,213.1,211.72,212.23,123.52,122.03,122.16,134.14,112.11,108.14
"02-26-2018 01:15 am",0,0,0,739662.81,739662.81,0,320182.03,0,0,1.16,808381.31,808381.31,0,42.43,19.7,46.78,0.91,212.12,122.43,127.37,60.01,39.26,18.87,43.57,111.46,26.68,113.44,0,0,0,286900.03,230769.69,221993.09,0,0,0,124768.51,100581.27,94832.26,0,0,0,0,0,0,0,1.03,0.14,313648.69,252658.17,241995,0,0,0,16.67,13.62,12.14,7.08,6.06,6.56,18.1,14.9,13.79,0.92,0.91,0.88,212.99,211.33,212.05,123.37,121.93,122.01,146.8,122.32,112.98
"02-26-2018 01:30 am",0,0,0,739672.88,739672.88,0,320186.91,0,0,1.16,808392.44,808392.44,0,41.77,21.78,47.11,0.89,212.13,122.44,127.27,60.01,40.3,19.34,44.72,111.46,26.68,113.44,0,0,0,286904.13,230772.66,221996.09,0,0,0,124770.27,100582.8,94833.83,0,0,0,0,0,0,0,1.03,0.14,313653.13,252661.48,241998.38,0,0,0,17.61,11.65,12.51,8.31,6.31,7.16,19.46,13.24,14.41,0.9,0.88,0.87,212.77,211.55,212.06,123.29,121.99,122.02,155.3,108.42,118.07
"02-26-2018 01:45 am",0,0,0,739682.94,739682.94,0,320191.94,0,0,1.16,808403.69,808403.69,0,39.12,20.73,44.27,0.88,212.36,122.57,120.3,60.01,40.26,20.18,45.04,111.46,26.68,113.44,0,0,0,286908.28,230775.58,221999.03,0,0,0,124772.18,100584.36,94835.42,0,0,0,0,0,0,0,1.03,0.14,313657.75,252664.81,242001.73,0,0,0,15.58,11.34,12.2,7.52,6.39,6.83,17.29,13,13.97,0.9,0.87,0.87,213.14,211.67,212.27,123.41,122.13,122.17,140.12,106.45,114.32
"02-26-2018 02:00 am",0,0,0,739692.63,739692.63,0,320196.88,0,0,1.16,808414.56,808414.56,0,36.03,18.92,40.7,0.89,212.23,122.49,108.87,60.01,39.38,20.22,44.28,111.46,26.68,113.44,0,0,0,286912.25,230778.39,222001.98,0,0,0,124774.05,100585.84,94836.98,0,0,0,0,0,0,0,1.03,0.14,313662.13,252668,242005.06,0,0,0,14.42,10.82,10.78,8.11,5.65,5.16,16.54,12.2,11.95,0.87,0.89,0.9,212.84,211.68,212.17,123.31,122.07,122.11,128.61,100.09,97.91
"02-26-2018 02:15 am",0,0,0,739702.13,739702.13,0,320201.56,0,0,1.16,808425.13,808425.13,0,36.76,17.8,40.85,0.9,212.09,122.41,110.9,60.14,38.03,18.81,42.43,111.46,26.68,113.44,0,0,0,286915.97,230781.22,222004.91,0,0,0,124775.67,100587.36,94838.54,0,0,0,0,0,0,0,1.03,0.14,313666.19,252671.2,242008.39,0,0,0,14.84,10.49,11.43,6.38,5.76,5.66,16.15,11.96,12.75,0.92,0.88,0.9,212.74,211.38,212.15,123.29,121.92,122.04,130.21,98.14,104.35
