Time,Error,"Low Range","High Range","Accumulated Real Energy Net","Real Energy Quadrants 1 & 4, Import","Real Energy Quadrants 2 & 3, Export","Reactive Energy Quadrant 1","Reactive Energy Quadrant 2","Reactive Energy Quadrant 3","Reactive Energy Quadrant 4","Apparent Energy Net","Apparent Energy Quadrants 1 & 4","Apparent Energy Quadrants 2 & 3","Total Net Instantaneous Real Power","Total Net Instantaneous Reactive Power","Total Net Instantaneous Apparent Power","Total Power Factor","Voltage, L-L, 3p Ave","Voltage, L-N, 3p Ave","Current, 3p Ave",Frequency,"Total Real Power Present Demand","Total Reactive Power Present Demand","Total Apparent Power Present Demand","Total Real Power Max Demand, Import","Total Reactive Power Max Demand, Import","Total Apparent Power Max Demand, Import","Total Real Power Max Demand, Export","Total Reactive Power Max Demand, Export","Total Apparent Power Max Demand, Export","Accumulated Real Energy, Phase A, Import","Accumulated Real Energy, Phase B, Import","Accumulated Real Energy, Phase C, Import","Accumulated Real Energy, Phase A, Export","Accumulated Real Energy, Phase B, Export","Accumulated Real Energy, Phase C, Export","Accumulated Q1 Reactive Energy, Phase A, Import","Accumulated Q1 Reactive Energy, Phase B, Import","Accumulated Q1 Reactive Energy, Phase C, Import","Accumulated Q2 Reactive Energy, Phase A, Import","Accumulated Q2 Reactive Energy, Phase B, Import","Accumulated Q2 Reactive Energy, Phase C, Import","Accumulated Q3 Reactive Energy, Phase A, Export","Accumulated Q3 Reactive Energy, Phase B, Export","Accumulated Q3 Reactive Energy, Phase C, Export","Accumulated Q4 Reactive Energy, Phase A, Export","Accumulated Q4 Reactive Energy, Phase B, Export","Accumulated Q4 Reactive Energy, Phase C, Export","Accumulated Apparent Energy, Phase A, Import","Accumulated Apparent Energy, Phase B, Import","Accumulated Apparent Energy, Phase C, Import","Accumulated Apparent Energy, Phase A, Export","Accumulated Apparent Energy, Phase B, Export","Accumulated Apparent Energy, Phase C, Export","Real Power, Phase A","Real Power, Phase B","Real Power, Phase C","Reactive Power, Phase A","Reactive Power, Phase B","Reactive Power, Phase C","Apparent Power, Phase A","Apparent Power, Phase B","Apparent Power, Phase C","Power Factor, Phase A","Power Factor, Phase B","Power Factor, Phase C","Voltage, Phase A-B","Voltage, Phase B-C","Voltage, Phase A-C","Voltage, Phase A-N","Voltage, Phase B-N","Voltage, Phase C-N","Current, Phase A","Current, Phase B","Current, Phase C"
"02-26-2018 12:00 am",0,0,0,-484770.63,0,484770.63,0,426959,0,0,-649047.25,0,649047.25,-36.12,39.1,53.23,-0.68,210.89,121.72,145.68,60.01,-35.61,39.67,53.31,0,59.94,0,-52.25,0,79.51,0,0,0,162420.98,153684.97,168664.64,0,0,0,154608.05,136788.88,135562.09,0,0,0,0,0,0,0,0,0,225629.92,207342.67,217939.14,-13.92,-10.9,-11.3,14.52,14.07,10.51,20.11,17.79,15.42,-0.69,-0.61,-0.73,210.92,210.45,211.29,121.61,121.76,121.79,165.11,145.49,126.44
"02-26-2018 12:15 am",0,0,0,-484779.59,0,484779.59,0,426968.75,0,0,-649060.5,0,649060.5,-33.41,36.59,49.55,-0.67,210.99,121.78,136.11,60.01,-37.6,41.86,56.28,0,59.94,0,-52.25,0,79.51,0,0,0,162424.22,153687.84,168667.53,0,0,0,154611.47,136792.25,135565.05,0,0,0,0,0,0,0,0,0,225634.64,207347.11,217943.28,-11.15,-10.28,-11.98,13.18,11.97,11.44,17.26,15.77,16.56,-0.65,-0.65,-0.72,210.98,210.61,211.39,121.74,121.79,121.82,141.53,129.35,137.47
"02-26-2018 12:30 am",0,0,0,-484787.5,0,484787.5,0,426977.25,0,0,-649072.19,0,649072.19,-29.58,29.78,41.97,-0.7,210.97,121.77,114.91,59.88,-34.91,37.86,51.51,0,59.94,0,-52.25,0,79.51,0,0,0,162426.89,153690.22,168670.41,0,0,0,154614.53,136794.98,135567.7,0,0,0,0,0,0,0,0,0,225638.7,207350.73,217947.19,-10.29,-9.16,-10.11,9.81,10.67,9.27,14.21,14.05,13.71,-0.72,-0.65,-0.74,211.05,210.48,211.37,121.84,121.77,121.69,116.63,115.41,112.69
"02-26-2018 12:45 am",0,0,0,-484794.56,0,484794.56,0,426984.25,0,0,-649082.06,0,649082.06,-27.17,25.06,36.96,-0.74,211.52,122.09,102.2,60.01,-31.62,33.76,46.26,0,59.94,0,-52.25,0,79.51,0,0,0,162429.23,153692.39,168672.91,0,0,0,154616.95,136797.16,135570.14,0,0,0,0,0,0,0,0,0,225642.09,207353.81,217950.69,-9.01,-8.9,-9.26,8.73,7.4,8.93,12.53,11.57,12.86,-0.72,-0.77,-0.72,211.47,211.01,212.08,122.2,122.03,122.03,102.88,96.85,106.88
"02-26-2018 01:00 am",0,0,0,-484801.44,0,484801.44,0,426990.94,0,0,-649091.69,0,649091.69,-27.65,27.38,38.91,-0.71,211.72,122.2,106.78,60.02,-27.65,27.11,38.73,0,59.94,0,-52.25,0,79.51,0,0,0,162431.41,153694.86,168675.17,0,0,0,154619.06,136799.16,135572.7,0,0,0,0,0,0,0,0,0,225645.11,207356.98,217954.13,-8.19,-10.99,-8.47,8.19,8.22,10.96,11.58,13.72,13.85,-0.71,-0.8,-0.61,211.5,211.5,212.17,122.1,122.33,122.18,94.82,112.17,113.35
"02-26-2018 01:15 am",0,0,0,-484808.47,0,484808.47,0,426997.84,0,0,-649101.56,0,649101.56,-27.41,26.45,38.13,-0.72,211.69,122.18,104.33,60.01,-27.49,26.9,38.47,0,59.94,0,-52.25,0,79.51,0,0,0,162433.59,153697.53,168677.38,0,0,0,154621.17,136801.23,135575.42,0,0,0,0,0,0,0,0,0,225648.14,207360.38,217957.61,-8.45,-10.35,-8.61,8.17,7.92,10.36,11.75,13.02,13.47,-0.72,-0.79,-0.64,211.43,211.32,212.2,122.24,122.09,122.15,96.11,108.78,110.52
"02-26-2018 01:30 am",0,0,0,-484815.03,0,484815.03,0,427004.19,0,0,-649110.69,0,649110.69,-25.74,25.31,36.13,-0.71,211.94,122.32,98.87,60.02,-28.12,27.44,39.3,0,59.94,0,-52.25,0,79.51,0,0,0,162435.61,153699.94,168679.48,0,0,0,154623.16,136803.16,135577.86,0,0,0,0,0,0,0,0,0,225650.97,207363.47,217960.84,-7.3,-10.31,-8.13,7.51,7.76,10.04,10.47,12.9,12.92,-0.7,-0.8,-0.63,211.69,211.64,212.33,122.2,122.33,122.34,85.73,105.37,105.68
"02-26-2018 01:45 am",0,0,0,-484821.19,0,484821.19,0,427009.91,0,0,-649119.06,0,649119.06,-23.72,21.21,31.82,-0.75,211.89,122.3,86.62,60.01,-25.92,25.08,36.08,0,59.94,0,-52.25,0,79.51,0,0,0,162437.55,153702.08,168681.55,0,0,0,154625.05,136804.89,135579.95,0,0,0,0,0,0,0,0,0,225653.67,207366.22,217963.78,-7.78,-7.43,-8.51,7.3,6.33,7.58,10.66,9.76,11.39,-0.73,-0.76,-0.75,211.66,211.49,212.51,122.35,122.21,122.33,87.02,79.8,93.05
"02-26-2018 02:00 am",0,0,0,-484827.19,0,484827.19,0,427015.28,0,0,-649127.13,0,649127.13,-22.79,21.16,31.1,-0.73,211.72,122.19,84.44,60.02,-24.36,22.42,33.12,0,59.94,0,-52.25,0,79.51,0,0,0,162439.56,153703.92,168683.69,0,0,0,154626.91,136806.47,135581.91,0,0,0,0,0,0,0,0,0,225656.42,207368.66,217966.69,-7.5,-7.31,-7.98,7.12,6.33,7.71,10.34,9.66,11.09,-0.73,-0.76,-0.72,211.52,211.34,212.29,122.29,122.08,122.21,84.7,78.23,90.38
"02-26-2018 02:15 am",0,0,0,-484832.78,0,484832.78,0,427020.44,0,0,-649134.75,0,649134.75,-22.05,19.91,29.71,-0.74,211.81,122.24,81.11,60.02,-23.93,21.51,32.19,0,59.94,0,-52.25,0,79.51,0,0,0,162441.38,153705.73,168685.67,0,0,0,154628.66,136807.97,135583.8,0,0,0,0,0,0,0,0,0,225658.95,207371,217969.44,-6.72,-7.09,-8.24,6.71,5.74,7.46,9.49,9.12,11.11,-0.71,-0.78,-0.74,211.32,211.53,212.56,122.34,121.92,122.47,77.09,75.03,91.21
